state,year,quarter,year_quarter,transaction_type,"transaction_count
",transaction_amount,avg_transaction_value,Region
Andaman and Nicobar Islands,2020,Q3,2020-Q3,Merchant payments,16096,22682992.24,1409,Southern Region
Andaman and Nicobar Islands,2020,Q3,2020-Q3,Financial Services,572,961836.71,1682,Southern Region
Andaman and Nicobar Islands,2020,Q3,2020-Q3,Others,808,539449.77,668,Southern Region
Andaman and Nicobar Islands,2020,Q4,2020-Q4,Peer-to-peer payments,81439,533316526.18,6549,Southern Region
Andaman and Nicobar Islands,2020,Q4,2020-Q4,Recharge & bill payments,80811,33710030.53,417,Southern Region
Andaman and Nicobar Islands,2020,Q4,2020-Q4,Merchant payments,59391,56867468.94,958,Southern Region
Andaman and Nicobar Islands,2020,Q4,2020-Q4,Financial Services,965,1880546.97,1949,Southern Region
Andaman and Nicobar Islands,2020,Q4,2020-Q4,Others,1925,1508083.69,783,Southern Region
Andaman and Nicobar Islands,2021,Q1,2021-Q1,Peer-to-peer payments,105458,665391395.72,6310,Southern Region
Andaman and Nicobar Islands,2021,Q1,2021-Q1,Recharge & bill payments,84119,37160922.87,442,Southern Region
Andaman and Nicobar Islands,2021,Q1,2021-Q1,Merchant payments,53090,78606979.06,1481,Southern Region
Andaman and Nicobar Islands,2021,Q1,2021-Q1,Financial Services,884,1469351.09,1662,Southern Region
Andaman and Nicobar Islands,2021,Q1,2021-Q1,Others,1201,1077918.67,898,Southern Region
Andaman and Nicobar Islands,2021,Q2,2021-Q2,Peer-to-peer payments,132772,748382044.77,5637,Southern Region
Andaman and Nicobar Islands,2021,Q2,2021-Q2,Recharge & bill payments,120911,43691961.26,361,Southern Region
Andaman and Nicobar Islands,2021,Q2,2021-Q2,Merchant payments,85143,103707408.51,1218,Southern Region
Andaman and Nicobar Islands,2021,Q2,2021-Q2,Financial Services,960,2038521.51,2123,Southern Region
Andaman and Nicobar Islands,2021,Q2,2021-Q2,Others,1628,1327080.06,815,Southern Region
Andaman and Nicobar Islands,2021,Q3,2021-Q3,Peer-to-peer payments,192321,1077787837.16,5604,Southern Region
Andaman and Nicobar Islands,2021,Q3,2021-Q3,Recharge & bill payments,136010,51243450.86,377,Southern Region
Andaman and Nicobar Islands,2021,Q3,2021-Q3,Merchant payments,118340,176991328.22,1496,Southern Region
Andaman and Nicobar Islands,2021,Q3,2021-Q3,Financial Services,990,2351013.44,2375,Southern Region
Andaman and Nicobar Islands,2021,Q3,2021-Q3,Others,2103,1650766.13,785,Southern Region
Andaman and Nicobar Islands,2021,Q4,2021-Q4,Peer-to-peer payments,285778,1544932663.27,5406,Southern Region
Andaman and Nicobar Islands,2021,Q4,2021-Q4,Merchant payments,210164,322842314.62,1536,Southern Region
Andaman and Nicobar Islands,2021,Q4,2021-Q4,Recharge & bill payments,135608,59243518.11,437,Southern Region
Andaman and Nicobar Islands,2021,Q4,2021-Q4,Financial Services,1718,3137965.17,1827,Southern Region
Andaman and Nicobar Islands,2021,Q4,2021-Q4,Others,2855,2453640.14,859,Southern Region
Andaman and Nicobar Islands,2022,Q1,2022-Q1,Peer-to-peer payments,342649,1682328505.73,4910,Southern Region
Andaman and Nicobar Islands,2022,Q1,2022-Q1,Merchant payments,284298,370091558.68,1302,Southern Region
Andaman and Nicobar Islands,2022,Q1,2022-Q1,Recharge & bill payments,163401,71300133.66,436,Southern Region
Andaman and Nicobar Islands,2022,Q1,2022-Q1,Financial Services,1757,2869682.02,1633,Southern Region
Andaman and Nicobar Islands,2022,Q1,2022-Q1,Others,2643,2440321.98,923,Southern Region
Andaman and Nicobar Islands,2022,Q2,2022-Q2,Merchant payments,449540,510838980.91,1136,Southern Region
Andaman and Nicobar Islands,2022,Q2,2022-Q2,Peer-to-peer payments,437606,2088309073.46,4772,Southern Region
Andaman and Nicobar Islands,2022,Q2,2022-Q2,Recharge & bill payments,179515,82232936.62,458,Southern Region
Andaman and Nicobar Islands,2022,Q2,2022-Q2,Financial Services,1448,2089862.39,1443,Southern Region
Andaman and Nicobar Islands,2022,Q2,2022-Q2,Others,3108,2449496.71,788,Southern Region
Andaman and Nicobar Islands,2022,Q3,2022-Q3,Merchant payments,716105,693438186.30,968,Southern Region
Andaman and Nicobar Islands,2022,Q3,2022-Q3,Peer-to-peer payments,622217,2514535154.56,4041,Southern Region
Andaman and Nicobar Islands,2022,Q3,2022-Q3,Recharge & bill payments,240766,97748065.63,406,Southern Region
Andaman and Nicobar Islands,2022,Q3,2022-Q3,Financial Services,1814,2166304.98,1194,Southern Region
Andaman and Nicobar Islands,2022,Q3,2022-Q3,Others,3477,2744060.67,789,Southern Region
Andaman and Nicobar Islands,2022,Q4,2022-Q4,Merchant payments,956536,906365300.66,948,Southern Region
Andaman and Nicobar Islands,2022,Q4,2022-Q4,Peer-to-peer payments,768758,2961630584.83,3852,Southern Region
Andaman and Nicobar Islands,2022,Q4,2022-Q4,Recharge & bill payments,256050,110037119.67,430,Southern Region
Andaman and Nicobar Islands,2022,Q4,2022-Q4,Financial Services,2499,3533987.23,1414,Southern Region
Andaman and Nicobar Islands,2022,Q4,2022-Q4,Others,3692,3107412.04,842,Southern Region
Andhra Pradesh,2018,Q1,2018-Q1,Recharge & bill payments,5027448,892293975.67,177,Southern Region
Andhra Pradesh,2018,Q1,2018-Q1,Peer-to-peer payments,3049646,10524250283.18,3451,Southern Region
Andhra Pradesh,2018,Q1,2018-Q1,Merchant payments,362672,247297640.24,682,Southern Region
Andhra Pradesh,2018,Q1,2018-Q1,Financial Services,204305,44808449.76,219,Southern Region
Andhra Pradesh,2018,Q1,2018-Q1,Others,395514,287626042.97,727,Southern Region
Andhra Pradesh,2018,Q2,2018-Q2,Recharge & bill payments,6456387,1598591488.49,248,Southern Region
Andhra Pradesh,2018,Q2,2018-Q2,Peer-to-peer payments,4745000,20451493098.90,4310,Southern Region
Andhra Pradesh,2018,Q2,2018-Q2,Merchant payments,604847,436785223.86,722,Southern Region
Andhra Pradesh,2018,Q2,2018-Q2,Financial Services,225621,68952114.81,306,Southern Region
Andhra Pradesh,2018,Q2,2018-Q2,Others,322063,328092346.58,1019,Southern Region
Andhra Pradesh,2018,Q3,2018-Q3,Peer-to-peer payments,16129591,32738630444.67,2030,Southern Region
Andhra Pradesh,2018,Q3,2018-Q3,Recharge & bill payments,7542005,1949098146.89,258,Southern Region
Andhra Pradesh,2018,Q3,2018-Q3,Merchant payments,1225416,685277254.51,559,Southern Region
Andhra Pradesh,2018,Q3,2018-Q3,Financial Services,380324,60790077.57,160,Southern Region
Andhra Pradesh,2018,Q3,2018-Q3,Others,348725,284248675.57,815,Southern Region
Andhra Pradesh,2018,Q4,2018-Q4,Peer-to-peer payments,17580086,47011639726.14,2674,Southern Region
Andhra Pradesh,2018,Q4,2018-Q4,Recharge & bill payments,9767083,2418164314.47,248,Southern Region
Andhra Pradesh,2018,Q4,2018-Q4,Merchant payments,2622131,1671585888.57,637,Southern Region
Andhra Pradesh,2018,Q4,2018-Q4,Financial Services,400837,57178116.40,143,Southern Region
Andhra Pradesh,2018,Q4,2018-Q4,Others,389411,315211361.26,809,Southern Region
Andhra Pradesh,2019,Q1,2019-Q1,Peer-to-peer payments,37420988,77524329742.26,2072,Southern Region
Andhra Pradesh,2019,Q1,2019-Q1,Recharge & bill payments,14022264,3480641602.38,248,Southern Region
Andhra Pradesh,2019,Q1,2019-Q1,Merchant payments,5043682,2423536770.37,481,Southern Region
Andhra Pradesh,2019,Q1,2019-Q1,Financial Services,416325,47150177.53,113,Southern Region
Andhra Pradesh,2019,Q1,2019-Q1,Others,361263,284937624.54,789,Southern Region
Andhra Pradesh,2019,Q2,2019-Q2,Peer-to-peer payments,32494402,103924649232.47,3198,Southern Region
Andhra Pradesh,2019,Q2,2019-Q2,Recharge & bill payments,14093964,4708345387.91,334,Southern Region
Andhra Pradesh,2019,Q2,2019-Q2,Merchant payments,9226537,4613405202.68,500,Southern Region
Andhra Pradesh,2019,Q2,2019-Q2,Financial Services,145310,26626696.77,183,Southern Region
Andhra Pradesh,2019,Q2,2019-Q2,Others,448802,361492238.40,805,Southern Region
Andhra Pradesh,2019,Q3,2019-Q3,Peer-to-peer payments,39023491,124338645329.52,3186,Southern Region
Andhra Pradesh,2019,Q3,2019-Q3,Recharge & bill payments,20147629,6893984676.60,342,Southern Region
Andhra Pradesh,2019,Q3,2019-Q3,Merchant payments,16581787,7887394038.07,476,Southern Region
Andhra Pradesh,2019,Q3,2019-Q3,Financial Services,122270,29778183.03,244,Southern Region
Andhra Pradesh,2019,Q3,2019-Q3,Others,413437,298142027.59,721,Southern Region
Andhra Pradesh,2019,Q4,2019-Q4,Peer-to-peer payments,57181511,178893550050.69,3129,Southern Region
Andhra Pradesh,2019,Q4,2019-Q4,Merchant payments,25122370,13476303367.50,536,Southern Region
Andhra Pradesh,2019,Q4,2019-Q4,Recharge & bill payments,24469888,8335168605.69,341,Southern Region
Andhra Pradesh,2019,Q4,2019-Q4,Financial Services,105662,26796571.75,254,Southern Region
Andhra Pradesh,2019,Q4,2019-Q4,Others,338672,216496893.16,639,Southern Region
Andhra Pradesh,2020,Q1,2020-Q1,Peer-to-peer payments,65452143,223088554055.05,3408,Southern Region
Andhra Pradesh,2020,Q1,2020-Q1,Merchant payments,31408022,18603161784.50,592,Southern Region
